filename,ImageID,url,thumburl,hits,miss,fa,cr,HR,FAR,score,Number of edges,Entropy,Feature congestion,Number of distinct colors,Familiarity,Realism,Happiness,Clutter,Interestingness,Author,Paper Title,Paper URL,Paper DOI,First Page,Last Page,Year
sci1135.png,I1142,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci1135.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci1135.png,20,56,4,151,0.2632,0.0258,1.31,5.82,5.59,2.93,4,3.8,3.1,4.4,3.4,4.3,"Franz Sauer, Jinrong Xie , Kwan-Liu Ma",A Combined Eulerian-Lagrangian Data Representation for Large-Scale Applications,http://dx.doi.org/10.1109/TVCG.2016.2620975,10.1109/TVCG.2016.2620975,2248,2261,2017
sci748.png,I1063,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci748.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci748.png,30,48,9,151,0.3846,0.0562,1.29,4.72,2.31,3.44,3,4.3,4.6,4.6,5,4.5,Florian Ferstl;Kai Bürger;Rüdiger Westermann,Streamline Variability Plots for Characterizing the Uncertainty in Vector Field Ensembles,http://dx.doi.org/10.1109/TVCG.2015.2467204,10.1109/TVCG.2015.2467204,767,776,2015
sci145.png,I943,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci145.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci145.png,26,42,8,128,0.3824,0.0588,1.27,7.42,3.84,2.46,4,4.3,4.7,4.4,4.5,5.1,Yong Wan;Hideo Otsuna;Chi-Bin Chien;Charles D. Hansen,An interactive visualization tool for multi-channel confocal microscopy data in neurobiology research,http://dx.doi.org/10.1109/TVCG.2009.118,10.1109/TVCG.2009.118,1489,1496,2009
sci328.png,I972,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci328.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci328.png,26,54,6,136,0.325,0.0423,1.27,5.47,6.39,3.26,4,6.1,6.4,6.1,6.6,6.8,Christian Rieder;Tim Kröger;Christian Schumann;Horst K. Hahn,GPU-based Real-Time Approximation of the Ablation Zone for Radiofrequency Ablation,http://dx.doi.org/10.1109/TVCG.2011.207,10.1109/TVCG.2011.207,1812,1821,2011
sci853.png,I1094,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci853.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci853.png,39,28,21,122,0.5821,0.1469,1.26,12.01,6.03,6.06,4,3.3,3.4,3.8,4.9,4,Zhongjie Wang;Hans-Peter Seidel;Tino Weinkauf,Multi-field Pattern Matching based on Sparse Feature Sampling,http://dx.doi.org/10.1109/TVCG.2015.2467292,10.1109/TVCG.2015.2467292,807,816,2015
sci894.png,I1106,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci894.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci894.png,42,36,19,136,0.5385,0.1226,1.26,4.83,7.16,2.6,2,2.8,2.6,4.2,2.5,4.9,Tobias Günther;Holger Theisel,Backward Finite-Time Lyapunov Exponents in Inertial Flows,http://dx.doi.org/10.1109/TVCG.2016.2599016,10.1109/TVCG.2016.2599016,970,979,2016
sci895.png,I1107,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci895.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci895.png,35,40,13,132,0.4667,0.0897,1.26,1.19,2.09,2.44,2,3.9,2.7,4.4,2.4,4.9,Tobias Günther;Holger Theisel,Backward Finite-Time Lyapunov Exponents in Inertial Flows,http://dx.doi.org/10.1109/TVCG.2016.2599016,10.1109/TVCG.2016.2599016,970,979,2016
sci75.png,I929,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci75.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci75.png,15,54,3,139,0.2174,0.0211,1.25,6.85,6.18,2.2,3,3.1,3.7,4.2,4.4,3.8,Kaichi Zhou;Eugene Zhang;Jirí Bittner;Peter Wonka,Visibility-driven Mesh Analysis and Visualization through Graph Cuts,http://dx.doi.org/10.1109/TVCG.2008.176,10.1109/TVCG.2008.176,1667,1674,2008
sci501.png,I1007,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci501.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci501.png,21,44,6,131,0.3231,0.0438,1.25,15.59,6.46,4.54,2,3.6,4.5,3.8,4.4,4.6,Harish Doraiswamy;Vijay Natarajan;Ravi S. Nanjundiah,An Exploration Framework to Identify and Track Movement of Cloud Systems,http://dx.doi.org/10.1109/TVCG.2013.131,10.1109/TVCG.2013.131,2896,2905,2013
sci756.png,I1069,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci756.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci756.png,37,31,18,123,0.5441,0.1277,1.25,14.54,5.12,3.57,3,4.8,4.6,4.9,4.6,4.8,Tobias Günther;Maik Schulze;Holger Theisel,Rotation Invariant Vortices for Flow Visualization,http://dx.doi.org/10.1109/TVCG.2015.2467200,10.1109/TVCG.2015.2467200,817,826,2015
sci267.png,I965,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci267.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci267.png,25,38,9,126,0.3968,0.0667,1.24,7.36,7.63,2.95,5,5.1,5.6,5.5,5.6,5.8,Rocco Gasteiger;Mathias Neugebauer;Oliver Beuing;Bernhard Preim,The FLOWLENS: A Focus-and-Context Visualization Approach for Exploration of Blood Flow in Cerebral Aneurysms,http://dx.doi.org/10.1109/TVCG.2011.243,10.1109/TVCG.2011.243,2183,2192,2011
sci809.png,I1079,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci809.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci809.png,31,34,13,121,0.4769,0.097,1.24,7.91,4.57,4.67,3,3.6,4.6,4,3.9,4.5,Kai Lawonn;Sylvia Glaßer;Anna Vilanova;Bernhard Preim;Tobias Isenberg ,Occlusion-free Blood Flow Animation with Wall Thickness Visualization,http://dx.doi.org/10.1109/TVCG.2015.2467961,10.1109/TVCG.2015.2467961,728,737,2015
sci99.png,I935,http://web.cse.ohio-state.edu/~li.8950/data/image/sscivis1K/sci99.png,http://web.cse.ohio-state.edu/~li.8950/data/image/thumbnail/sci99.png,39,26,22,112,0.6,0.1642,1.23,8.92,3.84,1.72,3,5.5,4.6,5.7,5.3,6.2,Christian Dick;Joachim Georgii;Rainer Burgkart;Rüdiger Westermann,Stress Tensor field Visualization for Implant Planning in Orthopedics,http://dx.doi.org/10.1109/TVCG.2009.184,10.1109/TVCG.2009.184,1399,1406,2009
