filename,url,data ink ratio,Number of distinct colors,Density,HR,FAR,Entropy,Feature congestion,meanH,meanS,meanV,colorfulness4,Number of edges,score,coarseness,contrast,directionality,0,L,C,H
v483_n7388_11_f2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v483_n7388_11_f2.png,3,1,3,41.18,4.26,3.52,6.72,0.2187,0.0141,0.8471,16.48,7.97,1.5,3.11,0.06,0.35,87,84.87071746,0.337733977,340.9464355
economist_daily_chart_416.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_416.png,1,1,2,63.53,12.63,2.72,3.82,0.544,0.1944,0.8815,16.38,5.57,1.49,3.78,0.01,0.3,28,83.3939781,8.694015025,242.4611438
v485_n7400_14_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v485_n7400_14_f1.png,3,3,3,45.24,5.32,5.67,7.05,0.2718,0.2393,0.8946,11.6,10.07,1.49,3.63,0.03,0.26,110,82.93783975,7.570352152,88.94475842
visMost271.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost271.png,3,3,3,46.67,5.83,6.94,5.73,0.2895,0.5066,0.6622,11.56,9.36,1.49,3.78,0.02,0.3,214,60.30417436,26.1600922,115.3839193
whoI11_2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoI11_2.png,1,1,2,47.31,6,3.18,4.52,0,0.0001,0.9193,17.84,6.07,1.49,3.85,0.02,0.27,264,92.264192,0.006477178,68.10553166
wsj392.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj392.png,2,2,1,78.41,24.21,4.42,5.72,0.1068,0.1497,0.8278,14.51,5.48,1.49,3.92,0.05,0.29,367,78.20137511,6.40030207,21.26363014
wsj462.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj462.png,1,2,1,63.64,12.77,4.58,5.82,0.4988,0.1258,0.8331,11.65,6.1,1.49,3.96,0.04,0.27,372,80.96861704,5.306429796,141.0093601
whoL10.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoL10.png,2,2,1,34.15,2.97,2.44,4.51,0.4731,0.1736,0.9224,13.57,5.1,1.48,3.81,0.01,0.33,293,86.82104705,7.002720703,232.9765712
wsj116.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj116.png,1,2,3,55.81,9.09,4.68,7.84,0.1595,0.1035,0.8582,15.54,9.17,1.48,3.67,0.04,0.27,332,83.9936866,5.458176346,88.99284666
wsj271.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj271.png,2,2,2,65.12,13.83,3.29,4.32,0.3226,0.1049,0.8969,16.49,3.83,1.48,4.08,0.03,0.3,354,88.53179018,6.062029291,135.4904985
economist_daily_chart_153.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_153.png,2,2,1,54.65,9,2.88,4.49,0.1865,0.222,0.8862,11.33,4.88,1.46,4.06,0.05,0.29,7,84.51688759,8.388246963,242.9634092
economist_daily_chart_89.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_89.png,3,3,3,54.32,8.79,6.19,6.6,0.228,0.1778,0.901,11.98,9.07,1.46,3.87,0.03,0.27,52,85.20572959,6.437772489,82.73638461
v483_n7391_8_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v483_n7391_8_f1.png,1,1,1,59.04,10.87,1.06,3.65,0.0516,0.0018,0.9728,17.97,2.32,1.46,2.95,0.01,0.3,95,97.33124464,0.052300054,349.9888544
treasuryL13.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/treasuryL13.png,1,1,1,56.82,10.1,2.61,8.81,0.0223,0.0506,0.9301,17.36,10.8,1.45,2.78,0.02,0.38,80,93.12688817,5.943515331,106.3763969
v484_n7394_8_f2.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v484_n7394_8_f2.png,2,1,1,48.42,6.93,1.35,4.35,0.0694,0.0029,0.9612,17.94,2.93,1.44,2.84,0.01,0.33,102,96.17416516,0.078281629,351.0385939
vis87.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/vis87.png,1,2,1,38.2,4.12,4.28,4.36,0.52,0.1694,0.8539,12.4,7.05,1.44,3.88,0.02,0.28,196,81.18503672,6.205641618,223.3162066
whoK19_1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/whoK19_1.png,2,2,2,71.59,19.23,2.23,3.24,0.0692,0.1232,0.9047,17.21,3.48,1.44,3.56,0.03,0.32,287,89.47172576,9.130437403,129.8217398
visMost374.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/visMost374.png,3,3,3,51.76,8.33,5.92,6.22,0.4148,0.1525,0.8801,10.5,17.68,1.43,3.68,0.01,0.31,219,85.4947954,5.553831797,168.1073146
wsj286.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj286.png,2,2,2,55.06,9.71,4.58,4.87,0.0437,0.1983,0.3619,16.09,6.14,1.43,3.91,0.11,0.28,357,30.13636276,13.60123153,54.77423944
economist_daily_chart_48.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_48.png,1,2,1,77.89,25.69,4.5,4.96,0.1069,0.1597,0.9099,15.91,6.7,1.42,4.03,0.03,0.29,37,85.23810805,10.81287078,53.19665851
wsj240.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj240.png,2,2,1,65.12,15.15,5.18,7.24,0.1368,0.1865,0.8604,16.72,7.5,1.42,3.54,0.03,0.28,349,83.009077,12.12643679,91.53092649
economist_daily_chart_516.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/economist_daily_chart_516.png,1,1,1,73.91,22.12,2.46,3.71,0.5614,0.1871,0.8627,16.73,4.42,1.41,3.93,0.02,0.35,42,82.45043484,8.399290579,243.4441074
wsj176.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj176.png,1,1,2,67.9,17.35,3.82,4.97,0.1689,0.0572,0.8769,12.57,5,1.41,3.98,0.02,0.28,341,86.34565003,3.519232303,258.6053945
wsj521.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj521.png,2,1,1,53.26,9.18,3.96,4.62,0.1774,0.1645,0.8785,15.04,4.6,1.41,4.16,0.02,0.29,379,84.86226736,7.583818443,101.7450996
v487_n7405_22_f1.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/v487_n7405_22_f1.png,2,2,2,53.57,9.57,2.46,6.89,0.1326,0.0115,0.9519,17.17,5.83,1.4,3.77,0.01,0.29,122,95.0705976,0.176562212,128.6436758
wsj360.png,http://web.cse.ohio-state.edu/~li.8950/data/image/vis2K/wsj360.png,2,1,2,53.33,9.38,4.08,5.25,0.5318,0.1053,0.9077,12.9,5.42,1.4,4.11,0.03,0.3,366,86.49002447,4.368424095,5.54802243
